premisDesc,crimeCovidStartingPeriod,crimeFirstLockdownPeriod,crimeFirstReopeningPeriod,crimeMaskMandatePeriod,crimeRestrictionsEasedPeriod,crimeVaccineAvailabilityPeriod,crimeRestrictionsDroppedPeriod,crimeVaccineRequirementPeriod,crimeMaskMandateExtendedPeriod,crimeSecondRestrictionsEasedPeriod,crimeExecutiveOrdersDroppedPeriod
ELEVATOR,5,6,13,6,3,6,11,12,1,2,28
BOWLING ALLEY*,5,1,1,2,0,2,9,5,0,1,16
ENTERTAINMENT/COMEDY CLUB (OTHER),5,1,2,3,0,4,6,7,2,3,48
TELECOMMUNICATION FACILITY/LOCATION,4,5,4,1,0,2,5,6,3,1,8
PAWN SHOP,4,1,12,5,3,2,6,7,1,1,7
MTA - GOLD LINE - SOTO,4,1,6,1,2,0,2,0,1,1,6
OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*,4,3,4,0,0,2,2,3,0,2,2
MANUFACTURING COMPANY,4,4,6,0,3,3,9,8,2,7,35
"BUS DEPOT/TERMINAL, OTHER THAN MTA",4,3,6,4,3,5,2,0,1,0,12
MTA - EXPO LINE - PALMS,4,0,5,2,1,0,4,5,0,0,7
TRAIN TRACKS,4,7,8,6,3,6,19,4,0,5,24
MTA PROPERTY OR PARKING LOT,4,2,13,8,3,8,11,23,0,3,28
HIGH-RISE BUILDING,4,2,2,4,11,6,15,17,2,2,46
MTA - RED LINE - CIVIC CENTER/GRAND PARK,4,1,5,0,2,3,11,5,0,0,22
VALET,4,0,3,1,1,4,5,12,0,1,26
MTA - GREEN LINE - HARBOR FWY,4,3,10,0,0,1,1,5,0,2,17
MTA - RED LINE - HOLLYWOOD/WESTERN,3,4,7,6,9,11,4,14,1,3,22
CREDIT UNION,3,5,10,1,9,3,9,11,0,0,18
CONVENTION CENTER,3,0,0,1,1,0,5,11,1,7,50
BUS STOP/LAYOVER (ALSO QUERY 124),3,3,9,5,4,1,6,6,0,1,7
MTA - ORANGE LINE - VAN NUYS,3,0,3,1,0,0,2,3,0,0,5
MTA - ORANGE LINE - NORTH HOLLYWOOD,3,3,4,2,1,1,9,5,0,1,7
MTA - BLUE LINE - 7TH AND METRO CENTER,3,4,9,0,6,3,4,3,0,1,12
HOSPICE,3,0,1,4,1,0,2,1,0,0,6
FINANCE COMPANY,3,0,5,3,2,4,5,9,1,2,11
OTHER PLACE OF WORSHIP,3,1,4,2,2,4,5,2,2,2,15
VETERINARIAN/ANIMAL HOSPITAL,3,3,6,3,1,1,6,4,0,1,11
MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,3,2,12,3,11,6,11,12,1,4,14
MTA - PURPLE LINE - WILSHIRE/WESTERN,3,5,8,6,4,2,7,7,1,2,21
MTA - EXPO LINE - WESTWOOD/RANCHO PARK,3,0,0,0,0,0,3,1,1,0,9
MTA - EXPO LINE - EXPO/SEPULVEDA,3,0,2,0,0,0,3,5,1,3,10
MTA - EXPO LINE - FARMDALE,3,2,4,0,1,0,6,2,1,1,9
MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK,3,0,1,0,0,1,0,0,0,0,3
MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR,3,2,4,2,1,1,4,1,0,2,4
MTA - ORANGE LINE - RESEDA,2,0,2,0,2,0,0,1,0,2,3
AMTRAK TRAIN,2,1,0,1,2,1,0,0,0,0,5
"TERMINAL, OTHER THAN MTA",2,1,2,1,2,2,4,3,0,0,13
MTA - ORANGE LINE - NORDHOFF,2,0,1,0,0,0,1,0,0,0,1
MTA - EXPO LINE - LA CIENEGA/JEFFERSON,2,2,6,3,1,0,5,1,3,0,12
"SPORTS VENUE, OTHER",2,0,2,0,3,2,17,10,2,7,43
MTA - GOLD LINE - LINCOLN/CYPRESS,2,1,1,0,1,1,3,2,0,0,6
TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,2,2,10,4,1,5,9,8,0,1,18
BOOK STORE,2,1,4,4,1,3,4,1,0,1,13
MTA - BLUE LINE - WASHINGTON,2,1,2,5,7,3,10,9,1,2,24
TRASH CAN/TRASH DUMPSTER,2,0,7,0,2,3,3,0,0,1,10
MTA - EXPO LINE - 7TH AND METRO CENTER,2,1,6,0,1,1,1,3,0,1,4
GOLF COURSE*,2,7,15,4,2,6,11,7,0,2,28
CEMETARY*,2,3,10,0,4,3,5,3,2,1,21
METROLINK TRAIN,2,2,8,1,0,2,4,3,0,1,16
MTA - ORANGE LINE - CHATSWORTH,2,2,2,1,0,0,0,0,0,0,3
BANKING INSIDE MARKET-STORE *,2,1,3,0,0,0,1,0,0,4,7
TUNNEL,2,2,3,1,2,3,2,2,0,1,4
MTA - BLUE LINE - VERNON,2,2,3,3,2,3,6,7,0,1,4
MTA - PURPLE LINE - PERSHING SQUARE,2,2,1,0,0,1,0,0,0,2,5
MTA - EXPO LINE - EXPO PARK/USC,2,0,6,2,0,2,4,0,0,3,12
"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*",2,0,0,0,2,2,4,2,1,1,16
AIRCRAFT,2,1,3,4,1,1,3,0,0,0,7
MTA - GOLD LINE - MARIACHI PLAZA,2,1,5,0,1,0,1,2,1,2,2
