date,acronym,count
2022-12-17,RES,7
2022-12-17,WAD,12
2022-12-17,SEL,19
2022-12-17,CCY,25
2022-12-17,PLM,14
2022-12-17,WCH,13
2022-12-17,VEN,3
2022-12-17,NHL,11
2022-12-17,SVY,2
2022-12-17,GHL,2
2022-12-17,MSS,8
2022-12-17,SLK,3
2022-12-17,SPD,5
2022-12-17,SHR,4
2022-12-17,NRD,4
2022-12-17,CHT,4
2022-12-17,CPK,4
2022-12-17,LAX,4
2022-12-17,CCN,3
2022-12-17,ENC,6
2022-12-17,SLD,1
2022-12-17,BHT,1
2022-12-17,BTW,2
2022-12-17,ARL,2
2022-12-17,BAR,1
2022-12-16,CCY,25
2022-12-16,WLK,7
2022-12-16,WIL,25
2022-12-16,SLA,33
2022-12-16,WAD,8
2022-12-16,NLA,15
2022-12-16,BHT,6
2022-12-16,HWD,25
2022-12-16,WLA,14
2022-12-16,VNY,18
2022-12-16,SHR,8
2022-12-16,RES,9
2022-12-16,SEL,12
2022-12-16,WCH,4
2022-12-16,PLM,8
2022-12-16,VEN,5
2022-12-16,LAX,2
2022-12-16,NHL,9
2022-12-16,SVY,7
2022-12-16,SLD,4
2022-12-16,ARL,3
2022-12-16,NRD,9
2022-12-16,MSS,11
2022-12-16,CPK,12
2022-12-16,GHL,3
2022-12-16,CCN,11
2022-12-16,SPD,4
2022-12-16,SLK,7
2022-12-16,ENC,9
2022-12-16,CHT,6
2022-12-16,WLM,3
2022-12-16,WWD,3
2022-12-16,BTW,4
2022-12-16,SYL,2
2022-12-16,HAR,2
2022-12-15,CCY,19
2022-12-15,HWD,17
2022-12-15,WLK,13
2022-12-15,WAD,15
2022-12-15,SLA,27
2022-12-15,BHT,5
2022-12-15,NLA,8
2022-12-15,HAR,5
2022-12-15,WLM,4
2022-12-15,WIL,40
2022-12-15,BTW,2
2022-12-15,VNY,6
2022-12-15,RES,7
2022-12-15,SLK,10
2022-12-15,SEL,16
2022-12-15,CCN,8
2022-12-15,VEN,8
2022-12-15,WCH,7
2022-12-15,PLM,14
2022-12-15,LAX,2
2022-12-15,NHL,17
2022-12-15,SHR,9
2022-12-15,MSS,13
